revenue,gross_profit,operating_expenses,sg_and_a,depreciation_and_amortization,income_tax_expense,income_before_tax,cost_of_revenue,operating_income,interest_expense
383285000000.0,169148000000.0,54847000000.0,32908200000.0,20901700000.0,16741000000.0,113736000000.0,214137000000.0,114301000000.0,3933000000.0
394328000000.0,170782000000.0,51345000000.0,30807000000.0,21735000000.0,19300000000.0,119103000000.0,223546000000.0,119437000000.0,2931000000.0
365817000000.0,152836000000.0,43887000000.0,26332200000.0,21616600000.0,14527000000.0,109207000000.0,212981000000.0,108949000000.0,2645000000.0
274515000000.0,104956000000.0,38668000000.0,23200800000.0,18017500000.0,9680000000.0,67091000000.0,169559000000.0,66288000000.0,2873000000.0
260174000000.0,98392000000.0,34462000000.0,20677200000.0,17569700000.0,10481000000.0,65737000000.0,161782000000.0,63930000000.0,3576000000.0
265595000000.0,101839000000.0,30941000000.0,18564600000.0,23438600000.0,13372000000.0,72903000000.0,163756000000.0,70898000000.0,3240000000.0
229234000000.0,88186000000.0,26842000000.0,16105200000.0,24667400000.0,15738000000.0,64089000000.0,141048000000.0,61344000000.0,2323000000.0
215639000000.0,84263000000.0,24239000000.0,14543400000.0,21481700000.0,15685000000.0,61372000000.0,131376000000.0,60024000000.0,1456000000.0
233715000000.0,93626000000.0,22396000000.0,13437600000.0,20110100000.0,19121000000.0,72515000000.0,140089000000.0,71230000000.0,733000000.0
182795000000.0,70537000000.0,18034000000.0,10820400000.0,16330800000.0,13973000000.0,53483000000.0,112258000000.0,52503000000.0,384000000.0
