revenue,gross_profit,operating_expenses,sg_and_a,depreciation_and_amortization,income_tax_expense,income_before_tax,cost_of_revenue,operating_income,interest_expense
574785000000.0,270046000000.0,233194000000.0,139916400000.0,35550300000.0,7120000000.0,37557000000.0,304739000000.0,36852000000.0,3182000000.0
513983000000.0,225152000000.0,212904000000.0,127742400000.0,31588400000.0,-3217000000.0,-5936000000.0,288831000000.0,12248000000.0,2367000000.0
469822000000.0,197478000000.0,172599000000.0,103559400000.0,25896900000.0,4791000000.0,38151000000.0,272344000000.0,24879000000.0,1809000000.0
386064000000.0,152757000000.0,129858000000.0,77914800000.0,18846200000.0,2863000000.0,24178000000.0,233307000000.0,22899000000.0,1647000000.0
280522000000.0,114986000000.0,100445000000.0,60267000000.0,12891400000.0,2374000000.0,13976000000.0,165536000000.0,14541000000.0,1600000000.0
232887000000.0,93731000000.0,81310000000.0,48786000000.0,8754700000.0,1197000000.0,11261000000.0,139156000000.0,12421000000.0,1417000000.0
177866000000.0,65932000000.0,61826000000.0,37095600000.0,7111300000.0,769000000.0,3806000000.0,111934000000.0,4106000000.0,848000000.0
135987000000.0,47722000000.0,43536000000.0,26121600000.0,3762100000.0,1425000000.0,3892000000.0,88265000000.0,4186000000.0,484000000.0
107006000000.0,35355000000.0,33122000000.0,19873200000.0,2897000000.0,950000000.0,1568000000.0,71651000000.0,2233000000.0,459000000.0
88988000000.0,26236000000.0,26058000000.0,15634800000.0,2317800000.0,167000000.0,-111000000.0,62752000000.0,178000000.0,210000000.0
