revenue,gross_profit,operating_expenses,sg_and_a,depreciation_and_amortization,income_tax_expense,income_before_tax,cost_of_revenue,operating_income,interest_expense
307394000000.0,174062000000.0,89769000000.0,53861400000.0,23086200000.0,11922000000.0,85717000000.0,133332000000.0,84293000000.0,308000000.0
282836000000.0,156633000000.0,81791000000.0,49074600000.0,20046900000.0,11356000000.0,71328000000.0,126203000000.0,74842000000.0,357000000.0
257637000000.0,146698000000.0,67984000000.0,40790400000.0,17112500000.0,14701000000.0,90734000000.0,110939000000.0,78714000000.0,346000000.0
182527000000.0,97795000000.0,56571000000.0,33942600000.0,14532000000.0,7813000000.0,48082000000.0,84732000000.0,41224000000.0,135000000.0
161857000000.0,89961000000.0,55730000000.0,33438000000.0,12333100000.0,5282000000.0,39625000000.0,71896000000.0,34231000000.0,100000000.0
136819000000.0,77270000000.0,50949000000.0,30569400000.0,9711600000.0,4177000000.0,34913000000.0,59549000000.0,26321000000.0,114000000.0
110855000000.0,65272000000.0,39126000000.0,23475600000.0,7298700000.0,14531000000.0,27193000000.0,45583000000.0,26146000000.0,109000000.0
90272000000.0,55134000000.0,31418000000.0,18850800000.0,6208900000.0,4672000000.0,24150000000.0,35138000000.0,23716000000.0,124000000.0
74989000000.0,46825000000.0,27465000000.0,16479000000.0,5734700000.0,3303000000.0,19651000000.0,28164000000.0,19360000000.0,104000000.0
66001000000.0,40310000000.0,23814000000.0,14288400000.0,5044800000.0,3331000000.0,17259000000.0,25691000000.0,16496000000.0,101000000.0
