revenue,gross_profit,operating_expenses,sg_and_a,depreciation_and_amortization,income_tax_expense,income_before_tax,cost_of_revenue,operating_income,interest_expense
60922000000.0,44301000000.0,11329000000.0,6797400000.0,2138300000.0,4058000000.0,33818000000.0,16621000000.0,32972000000.0,257000000.0
26974000000.0,15356000000.0,11132000000.0,6679200000.0,1810900000.0,-187000000.0,4181000000.0,11618000000.0,4224000000.0,262000000.0
26914000000.0,17475000000.0,7434000000.0,4460400000.0,1535800000.0,189000000.0,9941000000.0,9439000000.0,10041000000.0,236000000.0
16675000000.0,10396000000.0,5864000000.0,3518400000.0,1273600000.0,77000000.0,4409000000.0,6279000000.0,4532000000.0,184000000.0
10918000000.0,6768000000.0,3922000000.0,2353200000.0,362500000.0,174000000.0,2970000000.0,4150000000.0,2846000000.0,52000000.0
11716000000.0,7171000000.0,3367000000.0,2020200000.0,273500000.0,-245000000.0,3896000000.0,4545000000.0,3804000000.0,58000000.0
9714000000.0,5822000000.0,2612000000.0,1567200000.0,198600000.0,149000000.0,3196000000.0,3892000000.0,3210000000.0,61000000.0
6910000000.0,4063000000.0,2129000000.0,1277400000.0,130500000.0,239000000.0,1905000000.0,2847000000.0,1934000000.0,58000000.0
5010000000.0,2811000000.0,2064000000.0,1238400000.0,131700000.0,129000000.0,743000000.0,2199000000.0,747000000.0,47000000.0
4681507000.0,2599477000.0,1840488000.0,1104292800.0,148807100.0,124249000.0,754836000.0,2082030000.0,758989000.0,46133000.0
