revenue,gross_profit,operating_expenses,sg_and_a,depreciation_and_amortization,income_tax_expense,income_before_tax,cost_of_revenue,operating_income,interest_expense
96773000000.0,17660000000.0,8769000000.0,5261400000.0,5700200000.0,-5001000000.0,9973000000.0,79113000000.0,8891000000.0,156000000.0
81462000000.0,20853000000.0,7197000000.0,4318200000.0,4142100000.0,1132000000.0,13719000000.0,60609000000.0,13656000000.0,191000000.0
53823000000.0,13606000000.0,7083000000.0,4249800000.0,3503100000.0,699000000.0,6343000000.0,40217000000.0,6523000000.0,371000000.0
31536000000.0,6630000000.0,4636000000.0,2781600000.0,2543100000.0,292000000.0,1154000000.0,24906000000.0,1994000000.0,748000000.0
24578000000.0,4069000000.0,4138000000.0,2482800000.0,2220600000.0,110000000.0,-665000000.0,20509000000.0,-69000000.0,685000000.0
21461268000.0,4042021000.0,4430094000.0,2658056400.0,2143330600.0,57837000.0,-1004745000.0,17419247000.0,-388073000.0,663071000.0
11758751000.0,2222487000.0,3854573000.0,2312743800.0,2208485200.0,31546000.0,-2209032000.0,9536264000.0,-1632086000.0,471259000.0
7000132000.0,1599257000.0,2266597000.0,1359958200.0,1640428000.0,26698000.0,-746348000.0,5400875000.0,-667340000.0,198810000.0
4046025000.0,923503000.0,1640132000.0,984079200.0,530089200.0,13039000.0,-875624000.0,3122522000.0,-716629000.0,118851000.0
3198356000.0,881671000.0,1068360000.0,641016000.0,265059400.0,9404000.0,-284636000.0,2316685000.0,-186689000.0,100886000.0
